Sucursal,Asesor,Codigo Asesor,Cliente,Codigo Cliente,U.E.,Litros Empaque,Producto,Litros Potenciales
Caracas,Juan Carlos Valera,77470,AEROCAMIONES DE VENEZUELA C.A,1117,Tambor,208,ECO CLASSIC HEAVY DUTY DIESEL MULTIGRADE MOTOR OIL API CI-4 SAE 15W40,"416,00"
Caracas,Juan Carlos Valera,77470,AEROCAMIONES DE VENEZUELA C.A,1117,Tambor,208,BIO MATIC AUTOMATIC TRANSMISSION FLUID DEXRON III H,"208,00"
Caracas,Juan Carlos Valera,77470,AEROCAMIONES DE VENEZUELA C.A,1117,Tambor,208,CAR MINE  HEAVY DUTY COOLANT,"208,00"
Caracas,Juan Carlos Valera,77470,"CONSTRUCCIONES YAMARO, C.A",1465,Paila,19,ECO GREASE COMPLEX HT-EP 5% BIMOLI,"57,00"
Caracas,Juan Carlos Valera,77470,"CONSTRUCCIONES YAMARO, C.A",1465,Tambor,208,ECO DYN PREMIUM AW 100 HIDRAULIC OIL,"208,00"
Caracas,Juan Carlos Valera,77470,"CONSTRUCCIONES YAMARO, C.A",1465,Tambor,208,ECO DYN THERMOLUB 100,"208,00"
Caracas,Juan Carlos Valera,77470,"CONSTRUCCIONES YAMARO, C.A",1465,Tote Tank,1040,ECO CLASSIC HEAVY DUTY DIESEL MULTIGRADE MOTOR OIL API CI-4 SAE 15W40,"2.080,00"
Caracas,Juan Carlos Valera,77470,CONSTRUCTORA VIALPA S.A,1651,Tambor,208,ECO CLASSIC HEAVY DUTY DIESEL MULTIGRADE MOTOR OIL API CI-4 SAE 15W40,"1.040,00"
Caracas,Juan Carlos Valera,77470,CONSTRUCTORA VIALPA S.A,1651,Tambor,208,ECO PLUS MONOGRADE MOTOR OIL API CF SAE 50 TBN 10,"416,00"
Caracas,Juan Carlos Valera,77470,CONSTRUCTORA VIALPA S.A,1651,Tambor,208,BIO MATIC CATERPILLAR TO-4 30,"208,00"
Caracas,Juan Carlos Valera,77470,CONSTRUCTORA VIALPA S.A,1651,Tambor,208,ADDENDUM MULTIGRADE GEAR OIL API GL-5  SAE 80W90,"208,00"
Caracas,Juan Carlos Valera,77470,CONSTRUCTORA VIALPA S.A,1651,Tambor,208,ECO GREASE COMPLEX HT-EP 5% BIMOLI,"208,00"
Caracas,Juan Carlos Valera,77470,CONSTRUCTORA VIALPA S.A,1651,Tambor,208,CAR MINE  HEAVY DUTY COOLANT,"416,00"
Caracas,Juan Carlos Valera,77470,LABORATORIOS LETI S AV,67882,Tambor,208,ECO CLASSIC HEAVY DUTY DIESEL MULTIGRADE MOTOR OIL API CI-4 SAE 15W40,"3.328,00"
Caracas,Juan Carlos Valera,77470,LABORATORIOS LETI S AV,67882,Tambor,208,CAR MINE  HEAVY DUTY COOLANT,"1.248,00"
Caracas,Juan Carlos Valera,77470,"CONSORCIO MINERO LUSO VARGAS,CA CONLUVAR",70449,Tambor,208,ECO DYN INDUSTRIAL GEAR OIL EP 220,"208,00"
Caracas,Juan Carlos Valera,77470,"CONSORCIO MINERO LUSO VARGAS,CA CONLUVAR",70449,Tambor,208,BIO MATIC CATERPILLAR TO-4 30,"208,00"
Caracas,Juan Carlos Valera,77470,"CONSORCIO MINERO LUSO VARGAS,CA CONLUVAR",70449,Tambor,208,ADDENDUM MULTIGRADE GEAR OIL API GL-5  SAE 80W90,"1.248,00"
Caracas,Juan Carlos Valera,77470,"CONSORCIO MINERO LUSO VARGAS,CA CONLUVAR",70449,Tambor,208,ECO GREASE COMPLEX HT-EP 5% BIMOLI,"208,00"
Caracas,Juan Carlos Valera,77470,"CONSORCIO MINERO LUSO VARGAS,CA CONLUVAR",70449,Tote Tank,1040,ECO CLASSIC HEAVY DUTY DIESEL MULTIGRADE MOTOR OIL API CI-4 SAE 15W40,"2.080,00"
Caracas,Juan Carlos Valera,77470,"CONSORCIO MINERO LUSO VARGAS,CA CONLUVAR",70449,Tote Tank,1040,ECO PLUS MONOGRADE MOTOR OIL API CF SAE 50 TBN 10,"1.040,00"
Caracas,Juan Carlos Valera,77470,"TREVI CIMENTACIONES, C.A.",15781,Tambor,208,ECO CLASSIC HEAVY DUTY DIESEL MULTIGRADE MOTOR OIL API CI-4 SAE 15W40,"1.040,00"
Caracas,Juan Carlos Valera,77470,CONSORCIO B&P,70848,Tote Tank,1040,ECO CLASSIC HEAVY DUTY DIESEL MULTIGRADE MOTOR OIL API CI-4 SAE 15W40,"8.320,00"
Caracas,Juan Carlos Valera,77470,CONSORCIO B&P,70848,Tote Tank,1040,ECO PLUS MONOGRADE MOTOR OIL API CF SAE 50 TBN 10,"4.160,00"
Caracas,Juan Carlos Valera,77470,"LABORATORIOS FC PHARMA,CA",74749,Bidon,"20,000",CAR MINE  HEAVY DUTY COOLANT,"60,00"
Caracas,Juan Carlos Valera,77470,"LABORATORIOS FC PHARMA,CA",74749,Paila,19,ECO CLASSIC HEAVY DUTY DIESEL MULTIGRADE MOTOR OIL API CI-4 SAE 15W40,"95,00"
Caracas,Juan Carlos Valera,77470,"REDVITAL COMERCIALIZADORA, C.A.",77047,Tambor,208,ECO CLASSIC HEAVY DUTY DIESEL MULTIGRADE MOTOR OIL API CI-4 SAE 15W40,"4.784,00"
Caracas,Juan Carlos Valera,77470,"REDVITAL COMERCIALIZADORA, C.A.",77047,Tambor,208,CAR MINE  HEAVY DUTY COOLANT,"416,00"
Caracas,Juan Carlos Valera,77470,C.A.FABRICA NACIONAL DE CEMENTOS S.A.C.A,11683,Tambor,208,ECO CLASSIC HEAVY DUTY DIESEL MULTIGRADE MOTOR OIL API CI-4 SAE 15W40,"1.040,00"
Caracas,Juan Carlos Valera,77470,C.A.FABRICA NACIONAL DE CEMENTOS S.A.C.A,11683,Tambor,208,ADDENDUM MULTIGRADE GEAR OIL API GL-5  SAE 80W90,"208,00"
Caracas,Juan Carlos Valera,77470,C.A.FABRICA NACIONAL DE CEMENTOS S.A.C.A,11683,Tambor,208,ECO GREASE COMPLEX HT-EP 5% BIMOLI,"208,00"
Caracas,Juan Carlos Valera,77470,INSTITUTO AEROPUERTO INTERNACIONAL DE,77229,Tambor,208,ECO CLASSIC HEAVY DUTY DIESEL MULTIGRADE MOTOR OIL API CI-4 SAE 15W40,"2.080,00"
Caracas,Juan Carlos Valera,77470,"PROCTER & GAMBLE INDUSTRIAL, S.C.A.",70228,Tambor,208,ECO CLASSIC HEAVY DUTY DIESEL MULTIGRADE MOTOR OIL API CI-4 SAE 15W40,"208,00"
Caracas,Juan Carlos Valera,77470,Nestle,5783,3x1,"11,355",ECO CLASSIC SYNTHETIC BLEND MULTIGRADE MOTOR OIL API SN/SL SAE 15W40,"79,49"
Caracas,Juan Carlos Valera,77470,Nestle,5783,3x1,"11,355",ECO CLASSIC HEAVY DUTY DIESEL MULTIGRADE MOTOR OIL API CI-4 SAE 15W40,"397,43"
Caracas,Juan Carlos Valera,77470,Nestle,5783,Tambor,208,ADDENDUM MULTIGRADE GEAR OIL API GL-5  SAE 80W90,"208,00"
Caracas,Juan Carlos Valera,77470,Nestle,5783,Tambor,208,CAR MINE COOLANT FLUID - 50/50,"208,00"
Caracas,Juan Carlos Valera,77470,"UNION PRODUCTORES AGROPECUARIOS, C.A.",78511,Tambor,208,ECO CLASSIC HEAVY DUTY DIESEL MULTIGRADE MOTOR OIL API CI-4 SAE 15W40,"416,00"
