Cod. Chronus,Cod. CCV,Descripcion,Calidad / Categoria,USO,Unidad Empaque,Litros Unidad,LTS,Unidades x U.E,Venta Detalle
100810023,GESQ5W20,ECO LOGIC FULL SYNTHETIC MULTIGRADE MOTOR OIL API SN PLUS SAE 5W20,SN,LUBRICANTES PARA MOTORES A GASOLINA FULL SINTETICOS,6x1/4,"0,946","5,676",6,No
100610048,GESQ5W30,ECO LOGIC FULL SYNTHETIC MULTIGRADE MOTOR OIL API SN PLUS SAE 5W30,SN,LUBRICANTES PARA MOTORES A GASOLINA FULL SINTETICOS,6x1/4,"0,946","5,676",6,No
101010024,GEBO15W40,ECO CLASSIC SYNTHETIC BLEND MULTIGRADE MOTOR OIL API SN/SL SAE 15W40,SN,LUBRICANTES PARA MOTORES A GASOLINA SEMI-SINTETICOS,8x1/8,"0,473","3,784",8,No
100610086,GEBQ15W40,ECO CLASSIC SYNTHETIC BLEND MULTIGRADE MOTOR OIL API SN/SL SAE 15W40,SN,LUBRICANTES PARA MOTORES A GASOLINA SEMI-SINTETICOS,6x1/4,"0,946","5,676",6,No
100310142,GEBD15W40,ECO CLASSIC SYNTHETIC BLEND MULTIGRADE MOTOR OIL API SN/SL SAE 15W40,SN,LUBRICANTES PARA MOTORES A GASOLINA SEMI-SINTETICOS,Tambor,208,208,1,No
100210088,#N/A,ECO CLASSIC SYNTHETIC BLEND MULTIGRADE MOTOR OIL API SN/SL SAE 15W40,SN,LUBRICANTES PARA MOTORES A GASOLINA SEMI-SINTETICOS,Tote Tank,1040,1040,1,No
100810178,GEBQ205W50,ECO CLASSIC SYNTHETIC BLEND MULTIGRADE API SP/SN SAE 20W-50,SP,LUBRICANTES PARA MOTORES A GASOLINA SEMI-SINTETICOS,6x1/4,"0,946","5,676",6,No
100810128,GEMQ15W40,ECO CLASSIC MULTIGRADE MOTOR OIL API SL SAE 15W40,SL,LUBRICANTES PARA MOTORES A GASOLINA MINERALES,6x1/4,"0,946","5,676",6,No
100310107,GEMD15W40,ECO CLASSIC MULTIGRADE MOTOR OIL API SL SAE 15W40,SL,LUBRICANTES PARA MOTORES A GASOLINA MINERALES,Tambor,208,208,1,No
100711084,GEMO20W50,ECO CLASSIC MULTIGRADE MOTOR OIL API SL SAE 20W50,SL,LUBRICANTES PARA MOTORES A GASOLINA MINERALES,8x1/8,"0,473","3,784",8,No
100610067,GEMQ20W50,ECO CLASSIC MULTIGRADE MOTOR OIL API SL SAE 20W50,SL,LUBRICANTES PARA MOTORES A GASOLINA MINERALES,6x1/4,"0,946","5,676",6,No
100310083,GEMP20W50,ECO CLASSIC MULTIGRADE MOTOR OIL API SL SAE 20W50,SL,LUBRICANTES PARA MOTORES A GASOLINA MINERALES,Paila,19,19,1,No
100310066,GEMD20W50,ECO CLASSIC MULTIGRADE MOTOR OIL API SL SAE 20W50,SL,LUBRICANTES PARA MOTORES A GASOLINA MINERALES,Tambor,208,208,1,No
100210086,#N/A,ECO CLASSIC MULTIGRADE MOTOR OIL API SL SAE 20W50,SL,LUBRICANTES PARA MOTORES A GASOLINA MINERALES,Tote Tank,1040,1040,1,No
102811085,DEMG15W40,ECO CLASSIC HEAVY DUTY DIESEL MULTIGRADE MOTOR OIL API CI-4 SAE 15W40,CI-4,LUBRICANTES PARA MOTORES A DIESEL,3x1,"3,78","11,35",3,No
100411056,DEMP15W40,ECO CLASSIC HEAVY DUTY DIESEL MULTIGRADE MOTOR OIL API CI-4 SAE 15W40,CI-4,LUBRICANTES PARA MOTORES A DIESEL,Paila,19,19,1,No
